Hero,Race,Race2,Class,Class2
Anti-Mage,Elf,,Demon Hunter,
Axe,Orc,,Warrior,
Batrider,Troll,,Knight,
Bloodseeker,Human,,Assassin,
Bounty Hunter,Goblin,,Assassin,Deadeye
Clockwerk,Goblin,,Mech,
Drow Ranger,Undead,,Hunter,
Enchantress,Beast,,Druid,
Ogre Magi,Bloodbound,,Mage,
Shadow Shaman,Troll,,Shaman,
Tinker,Goblin,,Mech,
Tiny,Primordial,,Warrior,
Tusk,Beast,,Warrior,
Warlock,Bloodbound,,Warlock,
Beastmaster,Orc,,Hunter,
Chaos Knight,Demon,,Knight,
Crystal Maiden,Human,,Mage,
Juggernaut,Orc,,Warrior,
Luna,Elf,,Knight,
Morphling,Primordial,,Assassin,
Nature's Prophet,Elf,,Druid,
Puck,Elf,,Mage,Dragon
Pudge,Undead,,Warrior,
Queen of Pain,Demon,,Assassin,
Slardar,Scaled,,Warrior,
Timbersaw,Goblin,,Mech,
Treant Protector,Elf,,Druid,
Witch Doctor,Troll,,Warlock,
Abaddon,Undead,,Knight,
Arc Warden,Primordial,,Shaman,
Lina,Human,,Mage,
Lycan,Beast,Human,Hunter,
Omniknight,Human,,Knight,
Phantom Assasin,Elf,,Assassin,
Razor,Primordial,,Mage,
Sand King,Beast,,Assassin,
Shadow Fiend,Demon,,Warlock,
Slark,Scaled,,Assassin,
Sniper,Goblin,,Hunter,Deadeye
Terroblade,Demon,,Demon Hunter,
Venomancer,Beast,,Warlock,
Viper,Scaled,,Dragon,
Windranger,Elf,,Hunter,
Alchemist,Goblin,,Warlock,
Disruptor,Orc,,Warlock,
Doom,Demon,,Warrior,
Dragon Knight,Human,,Knight,Dragon
Keeper of the Light,Human,,Mage,
Kunkka,Human,,Warrior,
Lone Druid,Beast,,Druid,
Medusa,Scaled,,Hunter,
Mirana,Elf,,Hunter,
Necrophos,Undead,,Warlock,
Templar Assasin,Elf,,Assassin,
Troll Warlord,Troll,,Warrior,
Enigma,Primordial,,Shaman,
Gyrocopter,Goblin,,Deadeye,
Lich,Undead,,Mage,
Techies,Goblin,,Mech,
Tidehunter,Scaled,,Warrior,
